

 ddpg _ seed: 0 

timestep: 3000, acc_reward: 12.48
timestep: 6000, acc_reward: 38.78
timestep: 9000, acc_reward: 168.37
timestep: 12000, acc_reward: 176.03
timestep: 15000, acc_reward: 253.62
timestep: 18000, acc_reward: 280.15
timestep: 21000, acc_reward: 259.84
timestep: 24000, acc_reward: 309.26
timestep: 27000, acc_reward: 195.88
timestep: 30000, acc_reward: 331.15
timestep: 33000, acc_reward: 268.50
timestep: 36000, acc_reward: 382.81
timestep: 39000, acc_reward: 343.08
timestep: 42000, acc_reward: 275.02
timestep: 45000, acc_reward: 262.74
timestep: 48000, acc_reward: 288.30
timestep: 51000, acc_reward: 334.27
timestep: 54000, acc_reward: 366.48
timestep: 57000, acc_reward: 348.66
timestep: 60000, acc_reward: 458.01
timestep: 63000, acc_reward: 393.07
timestep: 66000, acc_reward: 449.21
timestep: 69000, acc_reward: 357.46
timestep: 72000, acc_reward: 376.48
timestep: 75000, acc_reward: 495.18
timestep: 78000, acc_reward: 284.35
timestep: 81000, acc_reward: 208.72
timestep: 84000, acc_reward: 427.16
timestep: 87000, acc_reward: 696.65
timestep: 90000, acc_reward: 573.04
timestep: 93000, acc_reward: 445.30
timestep: 96000, acc_reward: 418.17
timestep: 99000, acc_reward: 502.60
timestep: 102000, acc_reward: 827.16
timestep: 105000, acc_reward: 417.93
timestep: 108000, acc_reward: 440.62
timestep: 111000, acc_reward: 310.40
timestep: 114000, acc_reward: 1163.05
timestep: 117000, acc_reward: 1028.14
timestep: 120000, acc_reward: 358.46
timestep: 123000, acc_reward: 1283.35
timestep: 126000, acc_reward: 820.02
timestep: 129000, acc_reward: 1020.19
timestep: 132000, acc_reward: 2024.82
timestep: 135000, acc_reward: 879.69
timestep: 138000, acc_reward: 624.66
timestep: 141000, acc_reward: 1175.20
timestep: 144000, acc_reward: 1747.90
timestep: 147000, acc_reward: 1020.52
timestep: 150000, acc_reward: 1815.08
timestep: 153000, acc_reward: 65.11
timestep: 156000, acc_reward: 1258.37
timestep: 159000, acc_reward: 192.24
timestep: 162000, acc_reward: 475.89
timestep: 165000, acc_reward: 1653.76
timestep: 168000, acc_reward: 2407.69
timestep: 171000, acc_reward: 2517.87
timestep: 174000, acc_reward: 2967.54
timestep: 177000, acc_reward: 1076.44
timestep: 180000, acc_reward: 706.99
timestep: 183000, acc_reward: 2130.33
timestep: 186000, acc_reward: 1056.81
timestep: 189000, acc_reward: 1188.03
timestep: 192000, acc_reward: 1324.26
timestep: 195000, acc_reward: 978.30
timestep: 198000, acc_reward: 971.29
timestep: 201000, acc_reward: 466.57
timestep: 204000, acc_reward: 296.99
timestep: 207000, acc_reward: 340.43
timestep: 210000, acc_reward: 544.22
timestep: 213000, acc_reward: 366.10
timestep: 216000, acc_reward: 446.03
timestep: 219000, acc_reward: 142.67
timestep: 222000, acc_reward: 705.47
timestep: 225000, acc_reward: 946.67
