timestep: 6000, actor_loss: -3.748040199279785, critic_loss: 0.08146843314170837	
timestep: 9000, actor_loss: -14.664308547973633, critic_loss: 0.7486501336097717	
timestep: 12000, actor_loss: -23.152694702148438, critic_loss: 0.6866815686225891	
timestep: 15000, actor_loss: -34.798377990722656, critic_loss: 1.1322081089019775	
timestep: 18000, actor_loss: -49.5117073059082, critic_loss: 13.99120044708252	
timestep: 21000, actor_loss: -64.38505554199219, critic_loss: 1.3321943283081055	
timestep: 24000, actor_loss: -79.58097839355469, critic_loss: 12.117870330810547	
timestep: 27000, actor_loss: -103.76341247558594, critic_loss: 31.75707244873047	
timestep: 30000, actor_loss: -128.70364379882812, critic_loss: 12.01551342010498	
timestep: 33000, actor_loss: -143.20712280273438, critic_loss: 118.98535919189453	
timestep: 36000, actor_loss: -155.96490478515625, critic_loss: 7.9245171546936035	
timestep: 39000, actor_loss: -178.62286376953125, critic_loss: 23.496200561523438	
timestep: 42000, actor_loss: -179.77243041992188, critic_loss: 10.286962509155273	
timestep: 45000, actor_loss: -183.92373657226562, critic_loss: 156.51416015625	
timestep: 48000, actor_loss: -196.0201873779297, critic_loss: 15.152441024780273	
timestep: 51000, actor_loss: -203.91275024414062, critic_loss: 32.57585144042969	
timestep: 54000, actor_loss: -220.6565399169922, critic_loss: 23.400142669677734	
timestep: 57000, actor_loss: -231.12847900390625, critic_loss: 45.58972930908203	
timestep: 60000, actor_loss: -227.76095581054688, critic_loss: 127.66024780273438	
timestep: 63000, actor_loss: -226.63525390625, critic_loss: 509.9892272949219	
timestep: 66000, actor_loss: -237.00433349609375, critic_loss: 46.055625915527344	
timestep: 69000, actor_loss: -241.96788024902344, critic_loss: 76.64811706542969	
timestep: 72000, actor_loss: -277.6336669921875, critic_loss: 37.75563049316406	
timestep: 75000, actor_loss: -277.2258605957031, critic_loss: 39.571067810058594	
timestep: 78000, actor_loss: -294.23486328125, critic_loss: 99.59188842773438	
timestep: 81000, actor_loss: -284.7037658691406, critic_loss: 44.56532287597656	
timestep: 84000, actor_loss: -312.51483154296875, critic_loss: 36.1285400390625	
timestep: 87000, actor_loss: -338.9608154296875, critic_loss: 48.313636779785156	
timestep: 90000, actor_loss: -335.96197509765625, critic_loss: 73.97698211669922	
timestep: 93000, actor_loss: -339.87493896484375, critic_loss: 84.904296875	
timestep: 96000, actor_loss: -350.1883239746094, critic_loss: 79.39131164550781	
timestep: 99000, actor_loss: -349.647705078125, critic_loss: 45.34527587890625	
timestep: 102000, actor_loss: -321.537841796875, critic_loss: 94.12715148925781	
timestep: 105000, actor_loss: -299.00677490234375, critic_loss: 40.245567321777344	
timestep: 108000, actor_loss: -319.25762939453125, critic_loss: 49.64213180541992	
timestep: 111000, actor_loss: -317.987548828125, critic_loss: 36.68970489501953	
timestep: 114000, actor_loss: -338.35089111328125, critic_loss: 135.72715759277344	
timestep: 117000, actor_loss: -310.43505859375, critic_loss: 97.56897735595703	
timestep: 120000, actor_loss: -339.23541259765625, critic_loss: 124.90548706054688	
timestep: 123000, actor_loss: -343.29449462890625, critic_loss: 27.081758499145508	
timestep: 126000, actor_loss: -340.2580871582031, critic_loss: 79.04853820800781	
timestep: 129000, actor_loss: -331.329345703125, critic_loss: 59.40678024291992	
timestep: 132000, actor_loss: -331.0192565917969, critic_loss: 73.42569732666016	
timestep: 135000, actor_loss: -330.24896240234375, critic_loss: 29.727340698242188	
timestep: 138000, actor_loss: -342.9591369628906, critic_loss: 63.06338882446289	
timestep: 141000, actor_loss: -340.81964111328125, critic_loss: 49.376953125	
timestep: 144000, actor_loss: -335.0292053222656, critic_loss: 25.689971923828125	
timestep: 147000, actor_loss: -365.430908203125, critic_loss: 58.24103927612305	
timestep: 150000, actor_loss: -348.10302734375, critic_loss: 33.24634552001953	
timestep: 153000, actor_loss: -340.29998779296875, critic_loss: 23.51907730102539	
timestep: 156000, actor_loss: -332.532470703125, critic_loss: 131.3350067138672	
timestep: 159000, actor_loss: -320.5564880371094, critic_loss: 60.831146240234375	
timestep: 162000, actor_loss: -339.9731140136719, critic_loss: 52.171165466308594	
timestep: 165000, actor_loss: -334.26861572265625, critic_loss: 42.59219741821289	
timestep: 168000, actor_loss: -326.72027587890625, critic_loss: 27.503215789794922	
timestep: 171000, actor_loss: -314.47283935546875, critic_loss: 38.007057189941406	
timestep: 174000, actor_loss: -330.64068603515625, critic_loss: 14.65202808380127	
timestep: 177000, actor_loss: -319.08514404296875, critic_loss: 130.7600860595703	
timestep: 180000, actor_loss: -331.54736328125, critic_loss: 411.55078125	
timestep: 183000, actor_loss: -333.491455078125, critic_loss: 33.16416931152344	
timestep: 186000, actor_loss: -298.40423583984375, critic_loss: 59.23487854003906	
timestep: 189000, actor_loss: -323.51104736328125, critic_loss: 188.3309326171875	
timestep: 192000, actor_loss: -313.379638671875, critic_loss: 82.93073272705078	
timestep: 195000, actor_loss: -317.75213623046875, critic_loss: 26.572107315063477	
timestep: 198000, actor_loss: -323.59722900390625, critic_loss: 29.908885955810547	
timestep: 201000, actor_loss: -318.88934326171875, critic_loss: 17.6763916015625	
timestep: 204000, actor_loss: -319.10015869140625, critic_loss: 18.988100051879883	
timestep: 207000, actor_loss: -329.9073486328125, critic_loss: 16.928848266601562	
timestep: 210000, actor_loss: -319.4530334472656, critic_loss: 24.071544647216797	
timestep: 213000, actor_loss: -325.6327209472656, critic_loss: 58.412757873535156	
timestep: 216000, actor_loss: -329.5975341796875, critic_loss: 41.56365203857422	
timestep: 219000, actor_loss: -337.1753845214844, critic_loss: 25.73600959777832	
timestep: 222000, actor_loss: -315.05548095703125, critic_loss: 22.078983306884766	
timestep: 225000, actor_loss: -311.08795166015625, critic_loss: 30.242191314697266	
timestep: 228000, actor_loss: -321.05706787109375, critic_loss: 62.62077331542969	
timestep: 231000, actor_loss: -312.4815368652344, critic_loss: 75.16703796386719	
timestep: 234000, actor_loss: -329.6624755859375, critic_loss: 805.3938598632812	
timestep: 237000, actor_loss: -323.8514709472656, critic_loss: 23.891502380371094	
timestep: 240000, actor_loss: -334.78546142578125, critic_loss: 58.02449035644531	
timestep: 243000, actor_loss: -324.0247497558594, critic_loss: 43.66525650024414	
timestep: 246000, actor_loss: -329.34429931640625, critic_loss: 15.735458374023438	
timestep: 249000, actor_loss: -319.678466796875, critic_loss: 29.204872131347656	
timestep: 252000, actor_loss: -325.16943359375, critic_loss: 32.3663330078125	
timestep: 255000, actor_loss: -333.5668640136719, critic_loss: 46.666175842285156	
timestep: 258000, actor_loss: -321.5294189453125, critic_loss: 20.014934539794922	
timestep: 261000, actor_loss: -336.0954895019531, critic_loss: 252.8508758544922	
timestep: 264000, actor_loss: -331.7745361328125, critic_loss: 164.719970703125	
timestep: 267000, actor_loss: -325.5000305175781, critic_loss: 42.403202056884766	
timestep: 270000, actor_loss: -319.839599609375, critic_loss: 44.1321907043457	
timestep: 273000, actor_loss: -325.24578857421875, critic_loss: 40.16402816772461	
timestep: 276000, actor_loss: -338.6031494140625, critic_loss: 43.857261657714844	
timestep: 279000, actor_loss: -340.4422912597656, critic_loss: 37.03203201293945	
timestep: 282000, actor_loss: -330.76934814453125, critic_loss: 41.734928131103516	
timestep: 285000, actor_loss: -328.3547058105469, critic_loss: 25.305694580078125	
timestep: 288000, actor_loss: -334.3511962890625, critic_loss: 35.08317565917969	
timestep: 291000, actor_loss: -320.49859619140625, critic_loss: 32.06121826171875	
timestep: 294000, actor_loss: -322.52008056640625, critic_loss: 26.390201568603516	
timestep: 297000, actor_loss: -313.4542541503906, critic_loss: 25.33836555480957	
timestep: 300000, actor_loss: -323.75164794921875, critic_loss: 97.51396179199219	
timestep: 303000, actor_loss: -324.42529296875, critic_loss: 16.927705764770508	
timestep: 306000, actor_loss: -308.7679443359375, critic_loss: 55.25812911987305	
timestep: 309000, actor_loss: -319.0080261230469, critic_loss: 32.479530334472656	
timestep: 312000, actor_loss: -324.16064453125, critic_loss: 40.178245544433594	
timestep: 315000, actor_loss: -330.01727294921875, critic_loss: 79.83621215820312	
timestep: 318000, actor_loss: -324.21051025390625, critic_loss: 28.350460052490234	
timestep: 321000, actor_loss: -315.2154846191406, critic_loss: 20.10065460205078	
timestep: 324000, actor_loss: -319.4971008300781, critic_loss: 151.75784301757812	
