

 td3 _ seed: 0 

timestep: 3000, acc_reward: 38.64
timestep: 6000, acc_reward: 171.95
timestep: 9000, acc_reward: 187.98
timestep: 12000, acc_reward: 190.45
timestep: 15000, acc_reward: 172.96
timestep: 18000, acc_reward: 164.76
timestep: 21000, acc_reward: 175.55
timestep: 24000, acc_reward: 162.96
timestep: 27000, acc_reward: 164.36
timestep: 30000, acc_reward: 173.69
timestep: 33000, acc_reward: 179.25
timestep: 36000, acc_reward: 182.88
timestep: 39000, acc_reward: 176.80
timestep: 42000, acc_reward: 197.20
timestep: 45000, acc_reward: 200.19
timestep: 48000, acc_reward: 217.08
timestep: 51000, acc_reward: 231.35
timestep: 54000, acc_reward: 224.12
timestep: 57000, acc_reward: 207.75
timestep: 60000, acc_reward: 211.14
timestep: 63000, acc_reward: 198.32
timestep: 66000, acc_reward: 187.21
timestep: 69000, acc_reward: 151.84
timestep: 72000, acc_reward: 236.65
timestep: 75000, acc_reward: 190.32
timestep: 78000, acc_reward: 288.71
timestep: 81000, acc_reward: 66.28
timestep: 84000, acc_reward: 382.04
timestep: 87000, acc_reward: 347.71
timestep: 90000, acc_reward: 292.57
timestep: 93000, acc_reward: 305.07
timestep: 96000, acc_reward: 318.19
timestep: 99000, acc_reward: 332.03
timestep: 102000, acc_reward: 343.31
timestep: 105000, acc_reward: 307.27
timestep: 108000, acc_reward: 285.73
timestep: 111000, acc_reward: 322.09
timestep: 114000, acc_reward: 288.44
timestep: 117000, acc_reward: 535.96
timestep: 120000, acc_reward: 484.33
timestep: 123000, acc_reward: 452.53
timestep: 126000, acc_reward: 636.43
timestep: 129000, acc_reward: 459.75
timestep: 132000, acc_reward: 502.69
timestep: 135000, acc_reward: 671.39
timestep: 138000, acc_reward: 612.47
timestep: 141000, acc_reward: 537.52
timestep: 144000, acc_reward: 411.78
timestep: 147000, acc_reward: 692.70
timestep: 150000, acc_reward: 693.67
timestep: 153000, acc_reward: 845.32
timestep: 156000, acc_reward: 714.48
timestep: 159000, acc_reward: 586.62
timestep: 162000, acc_reward: 651.81
timestep: 165000, acc_reward: 480.22
timestep: 168000, acc_reward: 488.99
timestep: 171000, acc_reward: 930.92
timestep: 174000, acc_reward: 906.86
timestep: 177000, acc_reward: 720.42
timestep: 180000, acc_reward: 710.85
timestep: 183000, acc_reward: 762.98
timestep: 186000, acc_reward: 923.93
timestep: 189000, acc_reward: 852.27
timestep: 192000, acc_reward: 717.17
timestep: 195000, acc_reward: 759.74
timestep: 198000, acc_reward: 1894.01
timestep: 201000, acc_reward: 1170.29
timestep: 204000, acc_reward: 1713.34
timestep: 207000, acc_reward: 1808.60
timestep: 210000, acc_reward: 1098.43
timestep: 213000, acc_reward: 1731.28
timestep: 216000, acc_reward: 429.04
timestep: 219000, acc_reward: 844.99
timestep: 222000, acc_reward: 917.81
timestep: 225000, acc_reward: 1267.97
timestep: 228000, acc_reward: 1219.30
timestep: 231000, acc_reward: 1644.20
timestep: 234000, acc_reward: 1028.38
timestep: 237000, acc_reward: 1510.14
timestep: 240000, acc_reward: 977.94
timestep: 243000, acc_reward: 769.36
timestep: 246000, acc_reward: 668.58
timestep: 249000, acc_reward: 1848.95
timestep: 252000, acc_reward: 2444.63
timestep: 255000, acc_reward: 3089.68
timestep: 258000, acc_reward: 1309.23
timestep: 261000, acc_reward: 1061.31
timestep: 264000, acc_reward: 1116.32
timestep: 267000, acc_reward: 1121.49
timestep: 270000, acc_reward: 934.26
timestep: 273000, acc_reward: 1157.86
timestep: 276000, acc_reward: 1030.37
timestep: 279000, acc_reward: 1071.80
timestep: 282000, acc_reward: 997.68
timestep: 285000, acc_reward: 1271.70
timestep: 288000, acc_reward: 1128.85
timestep: 291000, acc_reward: 2528.20
timestep: 294000, acc_reward: 1216.81
timestep: 297000, acc_reward: 991.69
