timestep: 1000, acc_reward: 14.15
timestep: 2000, acc_reward: 21.45
timestep: 3000, acc_reward: 19.13
timestep: 4000, acc_reward: 21.15
timestep: 5000, acc_reward: 16.89
timestep: 6000, acc_reward: 12.68
timestep: 7000, acc_reward: 14.86
timestep: 8000, acc_reward: 15.18
timestep: 9000, acc_reward: 21.32
timestep: 10000, acc_reward: 23.30
timestep: 11000, acc_reward: 18.01
timestep: 12000, acc_reward: 17.45
timestep: 13000, acc_reward: 15.71
timestep: 14000, acc_reward: 19.29
timestep: 15000, acc_reward: 17.50
timestep: 16000, acc_reward: 18.46
timestep: 17000, acc_reward: 19.16
timestep: 18000, acc_reward: 14.37
timestep: 19000, acc_reward: 18.62
timestep: 20000, acc_reward: 17.12
timestep: 21000, acc_reward: 25.31
timestep: 22000, acc_reward: 17.95
timestep: 23000, acc_reward: 19.89
timestep: 24000, acc_reward: 25.41
timestep: 25000, acc_reward: 17.43
timestep: 26000, acc_reward: 38.99
timestep: 27000, acc_reward: 38.93
timestep: 28000, acc_reward: 38.68
