timestep, acc_reward
1000, 329.69
2000, 6.06
3000, 61.12
4000, 11.09
5000, 70.97
6000, 37.77
7000, .35
8000, 78.43
9000, 50.12
10000,272.58
11000,9.82
12000,13.68
13000,12.14
14000,26.32
15000,51.28
16000,332.57
17000,189.66
18000,123.20
19000,489.36
20000,348.83
21000,303.55
22000,275.53
23000,291.36
24000,590.21
25000,297.05
26000,322.93
27000,296.98
28000,328.82
29000,290.84
30000,273.01
31000,362.54
32000,315.85
33000,264.24
34000,215.68
35000,1.65
36000,501.11
37000,369.83
38000,217.80
39000,379.32
40000,404.12
41000,106.01
42000,282.81
43000,283.08
44000,394.92
45000,338.56
46000,469.91
47000,491.36
48000,508.84
49000,305.02
50000,377.53
51000,326.13
52000,339.24
53000,445.14
54000,479.89
55000,442.35
56000,563.95
57000,648.37
58000,638.18
59000,627.52
60000,834.75
61000,632.99
62000,443.03
63000,25.48
64000,509.61
65000,709.00
66000,889.28
67000,644.62
68000,607.75
69000,943.90
70000,648.21
71000,682.45
72000,1217.29
73000,625.13
74000,640.40
75000,585.42
76000,571.24
77000,277.32
78000,600.42
79000,702.16
80000,688.02
81000,222.11
82000,685.94
83000,474.15
84000,853.47
85000,1107.82
86000,690.13
87000,895.72
88000,15.33
89000,843.77
90000,798.12
91000,927.16
92000,946.93
93000,402.97
94000,594.53
95000,324.33
96000,204.83
97000,768.67
98000,59.61
99000,257.63
100000, 276.14
101000, 218.40
102000, 323.13
103000, 403.06
104000, 512.12
105000, 759.15
106000, 407.53
107000, 680.11
108000, 528.49
109000, 733.79
110000, 693.51
111000, 318.32
112000, 404.48
113000, 371.89
114000, 612.43
115000, 476.32
116000, 369.95
117000, 461.33
118000, 1152.96
119000, 1134.59
120000, 31.71
121000, 581.34
122000, 319.87
123000, 350.20
124000, 578.35
125000, 659.14
126000, 492.68
127000, 666.37
128000, 57.79
129000, 610.06
130000, 567.68
131000, 671.03
132000, 656.47
133000, 19.87
134000, 404.21
135000, 643.34
136000, 926.28
137000, 821.50
138000, 934.15
139000, 878.23
140000, 1510.32
141000, 616.41
142000, 941.31
143000, 776.17
144000, 1304.92
145000, 98.83
146000, 696.54
147000, 759.55
148000, 807.95
149000, 853.02
150000, 588.13
151000, 340.83
152000, 765.10
153000, 721.47
154000, 362.80
155000, 368.92
156000, 624.58
157000, 669.97
158000, 542.78
159000, 611.61
160000, 729.53
161000, 602.58
162000, 716.51
163000, 505.53
164000, 789.54
165000, 514.73
166000, 703.58
167000, 626.94
168000, 656.92
169000, 758.20
170000, 667.91
171000, 604.51
172000, 527.78
173000, 464.25
174000, 737.51
175000, 534.67
176000, 422.57
177000, -1.43
178000, 15.14
179000, 360.69
180000, 329.62
