timestep, acc_reward
1000, 3439.55
2000, 245.69
3000, 544.73
4000, 970.52
5000, 969.38
6000, 1984.55
7000, 817.89
8000, 429.70
9000, 369.11
10000, 872.76
11000, 1259.67
12000, 1887.36
13000, 1791.82
14000, 1820.44
15000, 955.66
16000, 838.95
17000, 1916.39
18000, 566.36
19000, 1476.64
20000, 2046.28
21000, 1989.53
22000, 3121.89
23000, 2067.61
24000, 1070.66
25000, 627.16
26000, 795.65
27000, 890.95
28000, 231.59
29000, 334.53
30000, 520.41
31000, 244.64
32000, 246.15
33000, 206.70
34000, 197.33
35000, 591.07
36000, 866.26
37000, 265.05
38000, 304.22
39000, 520.11
40000, 609.69
41000, 599.34
42000, 445.30
43000, 300.19
44000, 140.63
45000, 38.09
46000, 391.65
47000, 44.20
48000, 267.81
49000, 520.75
50000, 114.32
51000, 416.18
52000, 289.60
53000, 547.76
54000, 845.43
55000, 921.47
56000, 682.68
57000, 710.69
58000, 1216.08
59000, 1174.20
60000, 1186.07
61000, 1133.64
62000, 367.41
63000, 229.51
64000, 282.63
65000, 293.68
66000, 1244.65
67000, 999.77
68000, 1533.24
69000, 2710.33
70000, 3094.70
71000, 903.74
72000, 945.81
73000, 993.66
74000, 1071.01
75000, 1690.63
76000, 842.23
77000, 736.65
78000, 2199.64
79000, 901.54
80000, 1176.84
81000, 1254.88
82000, 884.69
83000, 2955.16
84000, 3312.17
85000, 3240.43
86000, 3283.78
87000, 3319.14
88000, 3408.48
89000, 3277.98
90000, 2733.21
91000, 3333.59
92000, 2735.08
93000, 3069.41
94000, 2159.36
95000, 2380.00
96000, 3156.74
97000, 1020.05
98000, 1314.40
99000, 1645.67
100000, 1599.54
101000, 1755.24
102000, 2106.48
103000, 1627.41
104000, 2404.30
105000, 292.54
106000, 2446.05
107000, 2666.79
108000, 2686.34
109000, 1452.56
110000, 1638.43
111000, 552.25
112000, 1500.55
113000, 1842.37
114000, 870.97
115000, 582.87
116000, 479.62
117000, 1530.27
118000, 1585.45
119000, 2247.31
120000, 2400.96
121000, 2356.88
122000, 1668.56
123000, 2613.11
124000, 2744.88
125000, 3027.73
126000, 3061.41
127000, 3067.26
128000, 3252.85
129000, 3054.34
130000, 2035.65
131000, 1922.34
132000, 781.68
133000, 543.57
134000, 2697.96
135000, 2055.50
136000, 3148.10
137000, 3395.82
138000, 3233.62
139000, 2706.77
140000, 3018.06
141000, 826.90
142000, 1413.49
143000, 3349.39
144000, 3500.66
145000, 3486.59
146000, 3127.05
147000, 2563.08
148000, 2479.06
149000, 2753.89
150000, 2059.79
151000, 1988.14
152000, 1922.02
153000, 2491.05
154000, 2784.16
155000, 2861.54
156000, 3121.11
157000, 2821.12
158000, 2072.42
159000, 2287.77
160000, 46.35
161000, 312.06
162000, 1012.63
163000, 2946.19
164000, 3422.68
165000, 3098.01
166000, 3137.69
167000, 2011.40
168000, 2966.96
169000, 2637.13
170000, 3204.23
171000, 1544.07
172000, 1460.01
173000, 1860.14
174000, 1189.94
175000, 299.01
176000, 1775.26
177000, 1586.16
178000, 1821.34
179000, 1574.14
180000, 2137.75
181000, 1872.47
182000, 2790.73
183000, 940.82
184000, 1808.63
185000, 3221.00
186000, 1535.67
187000, 1502.94
188000, 1124.71
189000, 1505.71
190000, 1664.96
191000, 2359.93
192000, 1324.31
193000, 1453.98
194000, 2084.51
195000, 2144.96
196000, 1970.35
197000, 3398.91
198000, 1910.10
199000, 3134.43
200000, 2300.23
201000, 3022.57
202000, 89.83
203000, 309.61
204000, 1972.58
205000, 641.29
206000, 287.63
207000, 3444.70
208000, 3361.78
209000, 1395.60
210000, 3238.63
211000, 3498.15
212000, 3552.96
213000, 3545.10
214000, 3528.91
215000, 3458.72
216000, 3583.90
217000, 3560.10
218000, 3529.63
219000, 3539.33
220000, 3595.54
221000, 3125.20
222000, 3547.29
223000, 3552.97
224000, 3544.18
225000, 3602.65
226000, 1978.70
227000, 2438.42
228000, 3454.47
229000, 2277.41
230000, 3116.11
231000, 3573.66
232000, 2582.65
233000, 1254.48
234000, 3513.01
235000, 3512.22
236000, 3640.52
237000, 3630.77
238000, 3603.77
239000, 3324.69
240000, 3521.42
241000, 3545.89
242000, 3614.85
243000, 3568.89
244000, 3640.78
245000, 3642.47
246000, 3656.05
247000, 2944.10
248000, 3546.90
249000, 3584.10
250000, 3130.19
251000, 2844.30
252000, 2843.83
253000, 2635.25
254000, 3172.83
255000, 2266.67
256000, 3508.66
257000, 2930.27
258000, 2275.96
259000, 3416.45
260000, 1687.84
261000, 3391.47
262000, 3620.66
263000, 1769.77
264000, 2070.13
265000, 1084.45
266000, 2747.93
267000, 3550.88
268000, 3568.77
269000, 3361.04
270000, 3602.13
271000, 3556.33
272000, 3491.83
273000, 2051.12
274000, 2805.87
275000, 2559.16
276000, 2240.44
277000, 2759.03
278000, 2489.85
279000, 3450.07
280000, 3135.28
281000, 3538.90
282000, 1557.56
283000, 3404.07
284000, 3518.36
285000, 3530.35
286000, 3498.01
287000, 1603.25
288000, 3483.88
289000, 3448.66
290000, 3536.61
291000, 3446.20
292000, 3458.45
293000, 3620.72
294000, 1929.53
295000, 3621.60
296000, 3591.29
297000, 2732.76
298000, 1405.50
299000, 2229.24
300000, 1861.76
301000, 2650.33
302000, 2426.79
303000, 2942.38
304000, 2663.33
305000, 3353.60
306000, 2880.53
307000, 3557.49
308000, 3680.61
309000, 3461.89
310000, 3036.01
311000, 2894.63
312000, 2367.80
313000, 3506.89
314000, 2878.37
315000, 3187.12
316000, 3216.26
