timestep, acc_reward
1000, 131.51
2000, 133.47
3000, 131.25
4000, 133.15
5000, 135.44
6000, 121.30
7000, 130.53
8000, 127.65
9000, 120.01
10000, 54.85
11000, 131.86
12000, 124.49
13000, 131.29
14000, 130.29
15000, 131.07
16000, 133.24
17000, 134.13
18000, 122.58
19000, 130.54
20000, 128.83
21000, 126.72
22000, 129.80
23000, 128.37
24000, 131.22
25000, 125.29
26000, 118.48
27000, 5.81
28000, 84.34
29000, 103.96
30000, 122.93
31000, 116.73
32000, 118.82
33000, 124.61
34000, 125.72
35000, 125.63
36000, 124.65
37000, 119.70
38000, 126.91
39000, 113.49
40000, 107.58
41000, 113.78
42000, 120.40
43000, 128.98
44000, 129.99
45000, 129.58
46000, 121.29
47000, 135.25
48000, 128.12
49000, 185.72
50000, 195.54
51000, 190.79
52000, 166.28
53000, 191.33
54000, 196.43
55000, 158.02
56000, 199.62
57000, 160.73
58000, 197.14
59000, 194.67
60000, 190.20
61000, 193.11
62000, 193.01
63000, 193.92
64000, 199.64
65000, 199.20
66000, 200.62
67000, 199.53
68000, 200.81
69000, 91.48
70000, 85.03
71000, 192.07
72000, 195.80
73000, 195.14
74000, 195.18
75000, 152.18
76000, 197.02
77000, 197.17
78000, 189.49
79000, 184.71
80000, 183.77
81000, 176.73
82000, 174.40
83000, 171.06
84000, 183.73
85000, 196.82
86000, 183.83
87000, 189.20
88000, 192.76
89000, 190.06
90000, 188.41
91000, 183.03
92000, 186.04
93000, 187.77
94000, 180.11
95000, 185.45
96000, 184.97
97000, 185.20
98000, 186.18
99000, 109.02
100000, 192.58
101000, 171.47
102000, 191.47
103000, 178.86
104000, 172.49
105000, 189.88
106000, 197.91
107000, 194.41
108000, 185.99
109000, 183.99
110000, 186.51
111000, 186.27
112000, 189.82
113000, 190.70
114000, 189.66
115000, 187.43
116000, 187.86
117000, 189.19
118000, 188.13
119000, 189.04
120000, 193.77
121000, 191.14
122000, 192.41
123000, 199.34
124000, 199.19
125000, 194.20
126000, 189.65
127000, 188.68
128000, 193.93
129000, 192.59
130000, 199.48
131000, 201.03
132000, 201.70
133000, 203.65
134000, 204.98
135000, 206.35
136000, 207.41
137000, 168.71
138000, 204.32
139000, 208.42
140000, 206.01
141000, 193.31
142000, 204.98
143000, 206.23
144000, 207.80
145000, 196.30
146000, 208.13
147000, 227.83
148000, 208.22
149000, 199.42
150000, 191.87
151000, 194.21
152000, 202.06
153000, 198.73
154000, 200.81
155000, 199.06
156000, 203.23
157000, 200.43
158000, 198.08
159000, 198.59
160000, 206.36
161000, 200.00
162000, 203.90
163000, 204.69
164000, 212.44
165000, 202.14
166000, 200.24
167000, 207.57
168000, 207.49
169000, 212.97
170000, 214.67
171000, 199.37
172000, 208.29
173000, 197.02
174000, 207.81
175000, 211.15
176000, 211.31
177000, 198.21
178000, 205.71
179000, 194.15
180000, 206.02
181000, 198.44
182000, 201.17
183000, 199.86
184000, 202.68
185000, 209.79
186000, 202.12
187000, 212.42
188000, 211.62
189000, 204.98
190000, 208.15
191000, 200.16
192000, 160.09
193000, 183.72
194000, 208.37
195000, 195.17
196000, 197.71
197000, 203.65
198000, 195.35
199000, 197.84
200000, 201.41
