timestep, acc_reward
1000, 396.62
2000, 8.07
3000, 10.44
4000, 16.57
5000, 12.24
6000, 999.28
7000, 70.59
8000, 80.20
9000, 13.24
10000, 216.67
11000, 114.41
12000, 1037.13
13000, 271.76
14000, 154.32
15000, 9.28
16000, 82.69
17000, 1006.50
18000, 991.55
19000, 1020.89
20000, 578.30
21000, 1024.83
22000, 1020.71
23000, 1021.71
24000, 186.96
25000, 28.67
26000, 85.21
27000, 46.94
28000, 249.38
29000, 3.29
30000, 120.00
31000, 174.49
32000, 122.04
33000, 161.99
34000, 71.91
35000, 97.39
36000, 307.97
37000, 531.25
38000, 1026.11
39000, 1060.58
40000, 1054.52
41000, 1054.85
42000, 1059.98
43000, 235.72
44000, 167.93
45000, 1111.15
46000, 30.50
47000, 154.83
48000, 1065.93
49000, 1005.45
50000, 253.47
51000, 13.83
52000, 146.47
53000, 13.42
54000, 988.53
55000, 983.57
56000, 118.80
57000, 8.25
58000, 2.08
59000, 44.18
60000, 5.68
61000, 86.49
62000, 50.68
63000, 81.16
64000, 464.59
65000, 1110.21
66000, 44.65
67000, 20.11
68000, 34.08
69000, 1010.82
70000, 3.14
71000, 9.06
72000, 991.06
73000, 1009.61
74000, 80.39
75000, 1002.52
76000, 1001.69
77000, 1004.71
78000, 994.50
79000, 986.19
80000, 79.47
81000, 981.33
82000, 12.22
83000, 22.37
84000, 48.53
85000, 9.84
86000, 940.20
87000, 61.04
88000, 6.51
89000, 536.65
90000, 164.81
91000, 212.46
92000, 596.32
93000, 252.59
94000, 764.75
95000, 328.59
96000, 103.10
97000, 34.74
98000, 43.90
99000, 43.11
