

 ddpg _ seed: 4 

timestep: 1000, acc_reward: 12.22
timestep: 2000, acc_reward: 12.25
timestep: 3000, acc_reward: 12.21
timestep: 4000, acc_reward: 12.13
timestep: 5000, acc_reward: 12.17
timestep: 6000, acc_reward: 38.83
timestep: 7000, acc_reward: 171.82
timestep: 8000, acc_reward: 112.90
timestep: 9000, acc_reward: 170.54
timestep: 10000, acc_reward: 112.42
timestep: 11000, acc_reward: 186.83
timestep: 12000, acc_reward: 191.72
timestep: 13000, acc_reward: 216.07
timestep: 14000, acc_reward: 239.41
timestep: 15000, acc_reward: 266.00
timestep: 16000, acc_reward: 249.72
timestep: 17000, acc_reward: 278.77
timestep: 18000, acc_reward: 273.29
timestep: 19000, acc_reward: 262.85
timestep: 20000, acc_reward: 269.11
timestep: 21000, acc_reward: 264.30
timestep: 22000, acc_reward: 269.88
timestep: 23000, acc_reward: 299.39
timestep: 24000, acc_reward: 269.44
timestep: 25000, acc_reward: 310.20
timestep: 26000, acc_reward: 326.23
timestep: 27000, acc_reward: 121.17
timestep: 28000, acc_reward: 325.60
timestep: 29000, acc_reward: 342.45
timestep: 30000, acc_reward: 329.58
timestep: 31000, acc_reward: 336.77
timestep: 32000, acc_reward: 342.00
timestep: 33000, acc_reward: 339.36
timestep: 34000, acc_reward: 318.48
timestep: 35000, acc_reward: 300.53
timestep: 36000, acc_reward: 361.30
timestep: 37000, acc_reward: 365.27
timestep: 38000, acc_reward: 397.82
timestep: 39000, acc_reward: 355.00
timestep: 40000, acc_reward: 170.38
timestep: 41000, acc_reward: 376.62
timestep: 42000, acc_reward: 371.15
timestep: 43000, acc_reward: 362.69
timestep: 44000, acc_reward: 370.70
timestep: 45000, acc_reward: 330.49
timestep: 46000, acc_reward: 367.51
timestep: 47000, acc_reward: 379.09
timestep: 48000, acc_reward: 374.48
timestep: 49000, acc_reward: 367.60
timestep: 50000, acc_reward: 378.42
timestep: 51000, acc_reward: 279.20
timestep: 52000, acc_reward: 318.65
timestep: 53000, acc_reward: 401.49
timestep: 54000, acc_reward: 396.51
timestep: 55000, acc_reward: 375.14
timestep: 56000, acc_reward: 410.46
timestep: 57000, acc_reward: 386.17
timestep: 58000, acc_reward: 574.14
timestep: 59000, acc_reward: 281.53
timestep: 60000, acc_reward: 250.72
timestep: 61000, acc_reward: 440.59
timestep: 62000, acc_reward: 387.18
timestep: 63000, acc_reward: 329.80
timestep: 64000, acc_reward: 384.01
timestep: 65000, acc_reward: 307.06
timestep: 66000, acc_reward: 470.65
timestep: 67000, acc_reward: 510.85
timestep: 68000, acc_reward: 547.14
timestep: 69000, acc_reward: 389.80
timestep: 70000, acc_reward: 736.51
timestep: 71000, acc_reward: 1002.89
timestep: 72000, acc_reward: 537.60
timestep: 73000, acc_reward: 837.01
timestep: 74000, acc_reward: 1386.50
timestep: 75000, acc_reward: 617.02
timestep: 76000, acc_reward: 344.73
timestep: 77000, acc_reward: 257.08
timestep: 78000, acc_reward: 298.25
timestep: 79000, acc_reward: 702.76
timestep: 80000, acc_reward: 1114.56
timestep: 81000, acc_reward: 1940.61
timestep: 82000, acc_reward: 1370.63
timestep: 83000, acc_reward: 916.74
timestep: 84000, acc_reward: 532.20
timestep: 85000, acc_reward: 735.79
timestep: 86000, acc_reward: 743.28
timestep: 87000, acc_reward: 2193.02
timestep: 88000, acc_reward: 974.46
timestep: 89000, acc_reward: 2406.77
timestep: 90000, acc_reward: 275.24
timestep: 91000, acc_reward: 2760.44
timestep: 92000, acc_reward: 1473.12
timestep: 93000, acc_reward: 2551.87
timestep: 94000, acc_reward: 2548.89
timestep: 95000, acc_reward: 1625.22
timestep: 96000, acc_reward: 633.78
timestep: 97000, acc_reward: 434.59
timestep: 98000, acc_reward: 433.91
timestep: 99000, acc_reward: 477.73
timestep: 100000, acc_reward: 873.41
timestep: 101000, acc_reward: 618.27
timestep: 102000, acc_reward: 673.68
timestep: 103000, acc_reward: 1007.50
timestep: 104000, acc_reward: 619.31
timestep: 105000, acc_reward: 1170.22
timestep: 106000, acc_reward: 2655.25
timestep: 107000, acc_reward: 2012.56
timestep: 108000, acc_reward: 600.40
timestep: 109000, acc_reward: 593.50
timestep: 110000, acc_reward: 826.47
timestep: 111000, acc_reward: 571.02
timestep: 112000, acc_reward: 1021.49
timestep: 113000, acc_reward: 937.49
timestep: 114000, acc_reward: 695.47
timestep: 115000, acc_reward: 910.95
timestep: 116000, acc_reward: 1758.60
timestep: 117000, acc_reward: 1720.03
timestep: 118000, acc_reward: 528.04
timestep: 119000, acc_reward: 2432.79
timestep: 120000, acc_reward: 976.59
timestep: 121000, acc_reward: 1839.97
timestep: 122000, acc_reward: 741.54
timestep: 123000, acc_reward: 2943.00
timestep: 124000, acc_reward: 804.60
timestep: 125000, acc_reward: 1249.31
timestep: 126000, acc_reward: 1681.27
timestep: 127000, acc_reward: 1079.45
timestep: 128000, acc_reward: 2799.93
timestep: 129000, acc_reward: 1968.04
timestep: 130000, acc_reward: 2840.99
timestep: 131000, acc_reward: 1237.65
timestep: 132000, acc_reward: 1563.01
timestep: 133000, acc_reward: 2946.44
timestep: 134000, acc_reward: 1372.64
timestep: 135000, acc_reward: 2489.82
timestep: 136000, acc_reward: 1220.96
timestep: 137000, acc_reward: 2784.53
timestep: 138000, acc_reward: 249.07
timestep: 139000, acc_reward: 1738.02
timestep: 140000, acc_reward: 579.20
timestep: 141000, acc_reward: 2006.74
timestep: 142000, acc_reward: 1662.61
timestep: 143000, acc_reward: 1404.71
timestep: 144000, acc_reward: 863.31
timestep: 145000, acc_reward: 906.24
