

 sac2 _ seed: 0 

timestep: 1000, acc_reward: 18.09
timestep: 2000, acc_reward: 16.65
timestep: 3000, acc_reward: 12.63
timestep: 4000, acc_reward: 19.97
timestep: 5000, acc_reward: 18.86
timestep: 6000, acc_reward: 79.60
timestep: 7000, acc_reward: 126.47
timestep: 8000, acc_reward: 203.82
timestep: 9000, acc_reward: 237.57
timestep: 10000, acc_reward: 258.68
timestep: 11000, acc_reward: 277.68
timestep: 12000, acc_reward: 225.13
timestep: 13000, acc_reward: 255.29
timestep: 14000, acc_reward: 268.97
timestep: 15000, acc_reward: 274.82
timestep: 16000, acc_reward: 299.29
timestep: 17000, acc_reward: 248.81
timestep: 18000, acc_reward: 198.64
timestep: 19000, acc_reward: 223.22
timestep: 20000, acc_reward: 188.70
timestep: 21000, acc_reward: 185.76
timestep: 22000, acc_reward: 131.80
timestep: 23000, acc_reward: 256.01
timestep: 24000, acc_reward: 298.03
timestep: 25000, acc_reward: 321.50
timestep: 26000, acc_reward: 321.88
timestep: 27000, acc_reward: 265.95
timestep: 28000, acc_reward: 342.43
timestep: 29000, acc_reward: 309.78
timestep: 30000, acc_reward: 369.17
timestep: 31000, acc_reward: 391.97
timestep: 32000, acc_reward: 373.66
timestep: 33000, acc_reward: 115.31
timestep: 34000, acc_reward: 378.33
timestep: 35000, acc_reward: 369.98
timestep: 36000, acc_reward: 366.69
timestep: 37000, acc_reward: 372.35
timestep: 38000, acc_reward: 374.27
timestep: 39000, acc_reward: 379.99
timestep: 40000, acc_reward: 338.20
timestep: 41000, acc_reward: 387.26
timestep: 42000, acc_reward: 367.56
timestep: 43000, acc_reward: 377.74
timestep: 44000, acc_reward: 385.35
timestep: 45000, acc_reward: 392.11
timestep: 46000, acc_reward: 393.32
timestep: 47000, acc_reward: 379.98
timestep: 48000, acc_reward: 392.01
timestep: 49000, acc_reward: 413.82
timestep: 50000, acc_reward: 406.42
timestep: 51000, acc_reward: 385.60
timestep: 52000, acc_reward: 403.01
timestep: 53000, acc_reward: 391.30
timestep: 54000, acc_reward: 307.52
timestep: 55000, acc_reward: 434.96
timestep: 56000, acc_reward: 396.06
timestep: 57000, acc_reward: 434.42
timestep: 58000, acc_reward: 372.13
timestep: 59000, acc_reward: 409.32
timestep: 60000, acc_reward: 380.36
timestep: 61000, acc_reward: 381.35
timestep: 62000, acc_reward: 373.50
timestep: 63000, acc_reward: 404.68
timestep: 64000, acc_reward: 421.93
timestep: 65000, acc_reward: 404.18
timestep: 66000, acc_reward: 324.18
timestep: 67000, acc_reward: 285.42
timestep: 68000, acc_reward: 386.82
timestep: 69000, acc_reward: 391.96
timestep: 70000, acc_reward: 431.33
timestep: 71000, acc_reward: 81.34
timestep: 72000, acc_reward: 54.55
timestep: 73000, acc_reward: 396.01
timestep: 74000, acc_reward: 425.22
timestep: 75000, acc_reward: 407.78
timestep: 76000, acc_reward: 419.42
timestep: 77000, acc_reward: 424.82
timestep: 78000, acc_reward: 413.13
timestep: 79000, acc_reward: 444.54
timestep: 80000, acc_reward: 434.12
timestep: 81000, acc_reward: 431.36
timestep: 82000, acc_reward: 450.72
timestep: 83000, acc_reward: 420.78
timestep: 84000, acc_reward: 488.04
timestep: 85000, acc_reward: 460.70
timestep: 86000, acc_reward: 484.99
timestep: 87000, acc_reward: 483.74
timestep: 88000, acc_reward: 503.28
timestep: 89000, acc_reward: 474.83
timestep: 90000, acc_reward: 298.27
timestep: 91000, acc_reward: 532.03
timestep: 92000, acc_reward: 438.22
timestep: 93000, acc_reward: 516.87
timestep: 94000, acc_reward: 509.06
timestep: 95000, acc_reward: 459.79
timestep: 96000, acc_reward: 395.97
timestep: 97000, acc_reward: 495.46
timestep: 98000, acc_reward: 529.21
timestep: 99000, acc_reward: 544.32
timestep: 100000, acc_reward: 546.22
timestep: 101000, acc_reward: 527.25
timestep: 102000, acc_reward: 519.48
timestep: 103000, acc_reward: 547.49
timestep: 104000, acc_reward: 578.39
timestep: 105000, acc_reward: 539.70
timestep: 106000, acc_reward: 545.61
timestep: 107000, acc_reward: 574.87
timestep: 108000, acc_reward: 611.62
timestep: 109000, acc_reward: 600.96
timestep: 110000, acc_reward: 580.24
timestep: 111000, acc_reward: 588.83
timestep: 112000, acc_reward: 594.38
timestep: 113000, acc_reward: 545.67
timestep: 114000, acc_reward: 572.24
timestep: 115000, acc_reward: 572.08
timestep: 116000, acc_reward: 618.26
timestep: 117000, acc_reward: 577.70
timestep: 118000, acc_reward: 840.11
timestep: 119000, acc_reward: 740.69
timestep: 120000, acc_reward: 648.80
timestep: 121000, acc_reward: 660.23
timestep: 122000, acc_reward: 581.58
timestep: 123000, acc_reward: 521.08
timestep: 124000, acc_reward: 591.49
timestep: 125000, acc_reward: 546.88
timestep: 126000, acc_reward: 598.04
timestep: 127000, acc_reward: 551.90
timestep: 128000, acc_reward: 562.75
timestep: 129000, acc_reward: 504.75
timestep: 130000, acc_reward: 677.00
timestep: 131000, acc_reward: 611.35
timestep: 132000, acc_reward: 621.27
timestep: 133000, acc_reward: 662.36
timestep: 134000, acc_reward: 634.96
timestep: 135000, acc_reward: 599.76
timestep: 136000, acc_reward: 640.24
timestep: 137000, acc_reward: 643.21
timestep: 138000, acc_reward: 680.44
timestep: 139000, acc_reward: 614.97
timestep: 140000, acc_reward: 627.77
timestep: 141000, acc_reward: 593.79
timestep: 142000, acc_reward: 577.76
timestep: 143000, acc_reward: 705.35
timestep: 144000, acc_reward: 645.29
timestep: 145000, acc_reward: 629.61
timestep: 146000, acc_reward: 592.93
timestep: 147000, acc_reward: 671.37
timestep: 148000, acc_reward: 602.14
timestep: 149000, acc_reward: 611.05
timestep: 150000, acc_reward: 649.13
timestep: 151000, acc_reward: 642.55
timestep: 152000, acc_reward: 630.23
timestep: 153000, acc_reward: 731.91
timestep: 154000, acc_reward: 660.43
timestep: 155000, acc_reward: 694.65
timestep: 156000, acc_reward: 739.74
timestep: 157000, acc_reward: 489.72
timestep: 158000, acc_reward: 542.54
timestep: 159000, acc_reward: 696.29
timestep: 160000, acc_reward: 651.45
timestep: 161000, acc_reward: 604.42
timestep: 162000, acc_reward: 668.26
timestep: 163000, acc_reward: 607.32
timestep: 164000, acc_reward: 602.69
timestep: 165000, acc_reward: 524.16
timestep: 166000, acc_reward: 590.38
timestep: 167000, acc_reward: 639.61
timestep: 168000, acc_reward: 634.81
timestep: 169000, acc_reward: 659.05
timestep: 170000, acc_reward: 693.85
timestep: 171000, acc_reward: 654.48
timestep: 172000, acc_reward: 703.34
timestep: 173000, acc_reward: 698.46
timestep: 174000, acc_reward: 686.05
timestep: 175000, acc_reward: 623.72
timestep: 176000, acc_reward: 616.32
timestep: 177000, acc_reward: 485.82
timestep: 178000, acc_reward: 644.26
timestep: 179000, acc_reward: 632.31
timestep: 180000, acc_reward: 607.38
timestep: 181000, acc_reward: 642.12
timestep: 182000, acc_reward: 657.94
timestep: 183000, acc_reward: 636.42
timestep: 184000, acc_reward: 498.70
timestep: 185000, acc_reward: 635.81
timestep: 186000, acc_reward: 685.01
timestep: 187000, acc_reward: 633.27
timestep: 188000, acc_reward: 544.68
timestep: 189000, acc_reward: 696.65
timestep: 190000, acc_reward: 676.13
timestep: 191000, acc_reward: 635.46
timestep: 192000, acc_reward: 793.02
timestep: 193000, acc_reward: 719.36
timestep: 194000, acc_reward: 728.87
timestep: 195000, acc_reward: 683.06
timestep: 196000, acc_reward: 706.37
timestep: 197000, acc_reward: 633.43
timestep: 198000, acc_reward: 677.44
timestep: 199000, acc_reward: 712.96
timestep: 200000, acc_reward: 661.31
timestep: 201000, acc_reward: 765.34
timestep: 202000, acc_reward: 789.83
timestep: 203000, acc_reward: 702.06
timestep: 204000, acc_reward: 658.99
timestep: 205000, acc_reward: 750.18
timestep: 206000, acc_reward: 784.64
timestep: 207000, acc_reward: 651.20
timestep: 208000, acc_reward: 642.05
timestep: 209000, acc_reward: 672.10
timestep: 210000, acc_reward: 676.74
timestep: 211000, acc_reward: 621.96
timestep: 212000, acc_reward: 677.86
timestep: 213000, acc_reward: 708.31
timestep: 214000, acc_reward: 688.88
timestep: 215000, acc_reward: 664.66
timestep: 216000, acc_reward: 713.92
timestep: 217000, acc_reward: 855.07
timestep: 218000, acc_reward: 661.25
timestep: 219000, acc_reward: 673.85
timestep: 220000, acc_reward: 744.59
timestep: 221000, acc_reward: 768.63
timestep: 222000, acc_reward: 785.28
timestep: 223000, acc_reward: 755.81
timestep: 224000, acc_reward: 707.06
timestep: 225000, acc_reward: 656.99
timestep: 226000, acc_reward: 743.20
