

 td3 _ seed: 0 

timestep: 1000, acc_reward: -1.42
timestep: 2000, acc_reward: -1.91
timestep: 3000, acc_reward: 1.04
timestep: 4000, acc_reward: 37.13
timestep: 5000, acc_reward: 166.52
timestep: 6000, acc_reward: 162.81
timestep: 7000, acc_reward: 178.04
timestep: 8000, acc_reward: 174.70
timestep: 9000, acc_reward: 184.96
timestep: 10000, acc_reward: 175.55
timestep: 11000, acc_reward: 221.06
timestep: 12000, acc_reward: 203.35
timestep: 13000, acc_reward: 265.29
timestep: 14000, acc_reward: 187.91
timestep: 15000, acc_reward: 274.33
timestep: 16000, acc_reward: 309.15
timestep: 17000, acc_reward: 248.88
timestep: 18000, acc_reward: 276.37
timestep: 19000, acc_reward: 365.44
timestep: 20000, acc_reward: 406.14
timestep: 21000, acc_reward: 344.00
timestep: 22000, acc_reward: 317.97
timestep: 23000, acc_reward: 320.67
timestep: 24000, acc_reward: 261.98
timestep: 25000, acc_reward: 252.83
timestep: 26000, acc_reward: 258.25
timestep: 27000, acc_reward: 252.48
timestep: 28000, acc_reward: 334.14
timestep: 29000, acc_reward: 327.94
timestep: 30000, acc_reward: 309.69
timestep: 31000, acc_reward: 316.01
timestep: 32000, acc_reward: 387.77
timestep: 33000, acc_reward: 401.75
timestep: 34000, acc_reward: 468.53
timestep: 35000, acc_reward: 465.25
timestep: 36000, acc_reward: 585.80
timestep: 37000, acc_reward: 73.53
timestep: 38000, acc_reward: 375.07
timestep: 39000, acc_reward: 378.35
timestep: 40000, acc_reward: 478.73
timestep: 41000, acc_reward: 681.62
timestep: 42000, acc_reward: 355.29
timestep: 43000, acc_reward: 433.85
timestep: 44000, acc_reward: 395.87
timestep: 45000, acc_reward: 538.49
timestep: 46000, acc_reward: 798.14
timestep: 47000, acc_reward: 346.30
timestep: 48000, acc_reward: 373.10
timestep: 49000, acc_reward: 230.43
timestep: 50000, acc_reward: 635.53
timestep: 51000, acc_reward: 81.30
timestep: 52000, acc_reward: 920.10
timestep: 53000, acc_reward: 593.50
timestep: 54000, acc_reward: 610.94
timestep: 55000, acc_reward: 497.50
timestep: 56000, acc_reward: 615.76
timestep: 57000, acc_reward: 724.80
timestep: 58000, acc_reward: 708.43
timestep: 59000, acc_reward: 711.57
timestep: 60000, acc_reward: 11.50
timestep: 61000, acc_reward: 11.85
timestep: 62000, acc_reward: 779.63
timestep: 63000, acc_reward: 1363.61
timestep: 64000, acc_reward: 1125.13
timestep: 65000, acc_reward: 1614.89
timestep: 66000, acc_reward: 1154.25
timestep: 67000, acc_reward: 1051.00
timestep: 68000, acc_reward: 1644.29
timestep: 69000, acc_reward: 508.21
timestep: 70000, acc_reward: 741.39
timestep: 71000, acc_reward: 1119.54
timestep: 72000, acc_reward: 1658.48
timestep: 73000, acc_reward: 1025.33
timestep: 74000, acc_reward: 1337.13
timestep: 75000, acc_reward: 1185.29
timestep: 76000, acc_reward: 242.33
timestep: 77000, acc_reward: 309.68
timestep: 78000, acc_reward: 1301.00
timestep: 79000, acc_reward: 250.66
timestep: 80000, acc_reward: 277.47
timestep: 81000, acc_reward: 257.81
timestep: 82000, acc_reward: 830.33
timestep: 83000, acc_reward: 840.82
timestep: 84000, acc_reward: 714.66
timestep: 85000, acc_reward: 828.40
timestep: 86000, acc_reward: 821.00
timestep: 87000, acc_reward: 623.91
timestep: 88000, acc_reward: 603.68
timestep: 89000, acc_reward: 765.16
timestep: 90000, acc_reward: 211.57
timestep: 91000, acc_reward: 1059.75
timestep: 92000, acc_reward: 1003.20
timestep: 93000, acc_reward: 368.86
timestep: 94000, acc_reward: 559.87
timestep: 95000, acc_reward: 325.32
timestep: 96000, acc_reward: 343.65
timestep: 97000, acc_reward: 295.51
timestep: 98000, acc_reward: 293.53
timestep: 99000, acc_reward: 362.20
timestep: 100000, acc_reward: 398.92
timestep: 101000, acc_reward: 569.44
timestep: 102000, acc_reward: 755.15
timestep: 103000, acc_reward: 847.52
timestep: 104000, acc_reward: 770.36
timestep: 105000, acc_reward: 928.24
timestep: 106000, acc_reward: 763.20
timestep: 107000, acc_reward: 842.87
timestep: 108000, acc_reward: 753.97
timestep: 109000, acc_reward: 720.86
timestep: 110000, acc_reward: 2163.85
timestep: 111000, acc_reward: 1479.26
timestep: 112000, acc_reward: 1298.21
timestep: 113000, acc_reward: 1318.42
timestep: 114000, acc_reward: 1248.69
timestep: 115000, acc_reward: 1186.52
timestep: 116000, acc_reward: 622.23
timestep: 117000, acc_reward: 984.54
timestep: 118000, acc_reward: 798.88
timestep: 119000, acc_reward: 283.63
timestep: 120000, acc_reward: 1035.31
timestep: 121000, acc_reward: 1821.31
timestep: 122000, acc_reward: 1238.18
timestep: 123000, acc_reward: 1279.28
timestep: 124000, acc_reward: 1193.35
timestep: 125000, acc_reward: 468.53
timestep: 126000, acc_reward: 2328.37
timestep: 127000, acc_reward: 268.05
timestep: 128000, acc_reward: 254.93
timestep: 129000, acc_reward: 895.37
timestep: 130000, acc_reward: 728.58
timestep: 131000, acc_reward: 847.70
timestep: 132000, acc_reward: 1518.22
timestep: 133000, acc_reward: 189.65
timestep: 134000, acc_reward: 2915.49
timestep: 135000, acc_reward: 3069.06
timestep: 136000, acc_reward: 3166.01
timestep: 137000, acc_reward: 2885.90
timestep: 138000, acc_reward: 2858.68
timestep: 139000, acc_reward: 1000.81
timestep: 140000, acc_reward: 1005.56
timestep: 141000, acc_reward: 1556.99
timestep: 142000, acc_reward: 1802.67
timestep: 143000, acc_reward: 1713.20
timestep: 144000, acc_reward: 1232.25
timestep: 145000, acc_reward: 2523.78
timestep: 146000, acc_reward: 1540.13
timestep: 147000, acc_reward: 2013.36
timestep: 148000, acc_reward: 1196.91
timestep: 149000, acc_reward: 1527.47
timestep: 150000, acc_reward: 1011.31
timestep: 151000, acc_reward: 1122.92
timestep: 152000, acc_reward: 946.22
timestep: 153000, acc_reward: 180.02
timestep: 154000, acc_reward: 2740.29
timestep: 155000, acc_reward: 3035.39
timestep: 156000, acc_reward: 2276.48
timestep: 157000, acc_reward: 751.14
timestep: 158000, acc_reward: 1800.07
timestep: 159000, acc_reward: 1115.11
timestep: 160000, acc_reward: 1840.49
timestep: 161000, acc_reward: 1647.73
timestep: 162000, acc_reward: 1064.13
timestep: 163000, acc_reward: 2659.18
timestep: 164000, acc_reward: 1495.55
timestep: 165000, acc_reward: 1304.70
timestep: 166000, acc_reward: 1458.31
timestep: 167000, acc_reward: 1155.85
timestep: 168000, acc_reward: 1136.03
timestep: 169000, acc_reward: 2434.34
timestep: 170000, acc_reward: 1568.87
timestep: 171000, acc_reward: 1802.74
timestep: 172000, acc_reward: 1277.71
timestep: 173000, acc_reward: 1448.42
timestep: 174000, acc_reward: 1557.67
timestep: 175000, acc_reward: 2586.10
timestep: 176000, acc_reward: 1442.75
timestep: 177000, acc_reward: 2157.34
timestep: 178000, acc_reward: 2138.08
timestep: 179000, acc_reward: 1818.21
timestep: 180000, acc_reward: 2419.82
timestep: 181000, acc_reward: 3158.16
timestep: 182000, acc_reward: 3390.98
timestep: 183000, acc_reward: 1215.49
timestep: 184000, acc_reward: 2309.00
timestep: 185000, acc_reward: 3442.13
timestep: 186000, acc_reward: 1594.47
timestep: 187000, acc_reward: 1093.12
timestep: 188000, acc_reward: 2193.52
timestep: 189000, acc_reward: 2606.35
timestep: 190000, acc_reward: 2160.22
timestep: 191000, acc_reward: 2075.69
timestep: 192000, acc_reward: 3332.47
timestep: 193000, acc_reward: 2144.57
timestep: 194000, acc_reward: 3204.20
timestep: 195000, acc_reward: 3390.34
timestep: 196000, acc_reward: 992.97
timestep: 197000, acc_reward: 1730.35
timestep: 198000, acc_reward: 3376.78
timestep: 199000, acc_reward: 2252.68
timestep: 200000, acc_reward: 1846.84
timestep: 201000, acc_reward: 2355.65
timestep: 202000, acc_reward: 1509.18
timestep: 203000, acc_reward: 2402.51
timestep: 204000, acc_reward: 3410.86
timestep: 205000, acc_reward: 3409.10
timestep: 206000, acc_reward: 1894.23
timestep: 207000, acc_reward: 3020.34
timestep: 208000, acc_reward: 1354.96
timestep: 209000, acc_reward: 3251.50
timestep: 210000, acc_reward: 1329.90
timestep: 211000, acc_reward: 2797.17
timestep: 212000, acc_reward: 3400.48
timestep: 213000, acc_reward: 3128.39
timestep: 214000, acc_reward: 3398.29
timestep: 215000, acc_reward: 2292.62
timestep: 216000, acc_reward: 3418.06
timestep: 217000, acc_reward: 2677.80
timestep: 218000, acc_reward: 1135.99
timestep: 219000, acc_reward: 2827.14
timestep: 220000, acc_reward: 2343.79
timestep: 221000, acc_reward: 3279.27
timestep: 222000, acc_reward: 2246.50
timestep: 223000, acc_reward: 992.32
