

 td3 _ seed: 1 

timestep: 3000, acc_reward: 38.82
timestep: 6000, acc_reward: 12.88
timestep: 9000, acc_reward: 172.58
timestep: 12000, acc_reward: 193.80
timestep: 15000, acc_reward: 184.25
timestep: 18000, acc_reward: 216.65
timestep: 21000, acc_reward: 213.24
timestep: 24000, acc_reward: 213.89
timestep: 27000, acc_reward: 214.35
timestep: 30000, acc_reward: 212.08
timestep: 33000, acc_reward: 230.40
timestep: 36000, acc_reward: 249.92
timestep: 39000, acc_reward: 261.05
timestep: 42000, acc_reward: 781.04
timestep: 45000, acc_reward: 300.36
timestep: 48000, acc_reward: 385.89
timestep: 51000, acc_reward: 340.55
timestep: 54000, acc_reward: 281.25
timestep: 57000, acc_reward: 328.09
timestep: 60000, acc_reward: 321.39
timestep: 63000, acc_reward: 327.91
timestep: 66000, acc_reward: 513.84
timestep: 69000, acc_reward: 311.44
timestep: 72000, acc_reward: 490.17
timestep: 75000, acc_reward: 635.79
timestep: 78000, acc_reward: 533.28
timestep: 81000, acc_reward: 526.93
timestep: 84000, acc_reward: 433.60
timestep: 87000, acc_reward: 412.16
timestep: 90000, acc_reward: 756.23
timestep: 93000, acc_reward: 281.82
timestep: 96000, acc_reward: 634.10
timestep: 99000, acc_reward: 447.67
timestep: 102000, acc_reward: 1080.54
timestep: 105000, acc_reward: 491.82
timestep: 108000, acc_reward: 414.09
timestep: 111000, acc_reward: 211.68
timestep: 114000, acc_reward: 255.44
timestep: 117000, acc_reward: 1033.36
timestep: 120000, acc_reward: 1646.04
timestep: 123000, acc_reward: 2538.70
timestep: 126000, acc_reward: 2400.69
timestep: 129000, acc_reward: 2552.73
timestep: 132000, acc_reward: 2614.57
timestep: 135000, acc_reward: 2993.70
timestep: 138000, acc_reward: 2797.88
timestep: 141000, acc_reward: 2743.40
timestep: 144000, acc_reward: 3089.00
timestep: 147000, acc_reward: 2890.47
timestep: 150000, acc_reward: 1863.37
timestep: 153000, acc_reward: 937.26
timestep: 156000, acc_reward: 1184.54
timestep: 159000, acc_reward: 1980.27
timestep: 162000, acc_reward: 2715.53
timestep: 165000, acc_reward: 3193.49
timestep: 168000, acc_reward: 3280.89
timestep: 171000, acc_reward: 1990.25
timestep: 174000, acc_reward: 3000.18
timestep: 177000, acc_reward: 3296.11
timestep: 180000, acc_reward: 1299.58
timestep: 183000, acc_reward: 1151.56
timestep: 186000, acc_reward: 2034.45
timestep: 189000, acc_reward: 1486.62
timestep: 192000, acc_reward: 787.16
timestep: 195000, acc_reward: 1243.96
timestep: 198000, acc_reward: 781.22
timestep: 201000, acc_reward: 1811.82
timestep: 204000, acc_reward: 754.62
timestep: 207000, acc_reward: 1448.72
timestep: 210000, acc_reward: 779.48
timestep: 213000, acc_reward: 1932.53
timestep: 216000, acc_reward: 2054.25
timestep: 219000, acc_reward: 2188.26
timestep: 222000, acc_reward: 863.91
timestep: 225000, acc_reward: 2034.08
timestep: 228000, acc_reward: 1657.71
timestep: 231000, acc_reward: 3097.70
timestep: 234000, acc_reward: 3415.75
timestep: 237000, acc_reward: 3248.82
timestep: 240000, acc_reward: 3279.57
timestep: 243000, acc_reward: 3146.66
timestep: 246000, acc_reward: 3067.20
timestep: 249000, acc_reward: 1240.90
timestep: 252000, acc_reward: 2771.44
timestep: 255000, acc_reward: 2912.44
timestep: 258000, acc_reward: 3377.03
timestep: 261000, acc_reward: 3331.55
timestep: 264000, acc_reward: 338.31
timestep: 267000, acc_reward: 3014.57
timestep: 270000, acc_reward: 3317.06
timestep: 273000, acc_reward: 3348.25
timestep: 276000, acc_reward: 3102.48
timestep: 279000, acc_reward: 3058.05
timestep: 282000, acc_reward: 2503.81
timestep: 285000, acc_reward: 2656.41
timestep: 288000, acc_reward: 2724.75
timestep: 291000, acc_reward: 2712.11
timestep: 294000, acc_reward: 2427.86
timestep: 297000, acc_reward: 2249.74
timestep: 300000, acc_reward: 1997.03
timestep: 303000, acc_reward: 3406.29
timestep: 306000, acc_reward: 1656.77
timestep: 309000, acc_reward: 2566.51
timestep: 312000, acc_reward: 1910.14
timestep: 315000, acc_reward: 2564.68
timestep: 318000, acc_reward: 2568.04
timestep: 321000, acc_reward: 3439.29
timestep: 324000, acc_reward: 1273.18
timestep: 327000, acc_reward: 3453.99
timestep: 330000, acc_reward: 1646.33
timestep: 333000, acc_reward: 3458.15
timestep: 336000, acc_reward: 3439.63
timestep: 339000, acc_reward: 3146.69
timestep: 342000, acc_reward: 3455.83
timestep: 345000, acc_reward: 3505.69
timestep: 348000, acc_reward: 3468.97
timestep: 351000, acc_reward: 3540.25
timestep: 354000, acc_reward: 1431.55
timestep: 357000, acc_reward: 3415.29
timestep: 360000, acc_reward: 3508.67
timestep: 363000, acc_reward: 3501.56
timestep: 366000, acc_reward: 3421.39
timestep: 369000, acc_reward: 3493.31
timestep: 372000, acc_reward: 971.93
timestep: 375000, acc_reward: 3536.81
timestep: 378000, acc_reward: 2036.97
timestep: 381000, acc_reward: 2195.51
timestep: 384000, acc_reward: 1251.06
timestep: 387000, acc_reward: 1347.34
timestep: 390000, acc_reward: 1416.80
timestep: 393000, acc_reward: 3439.71
timestep: 396000, acc_reward: 3561.24
timestep: 399000, acc_reward: 3538.91
timestep: 402000, acc_reward: 3398.12
timestep: 405000, acc_reward: 3098.27
timestep: 408000, acc_reward: 2503.94
timestep: 411000, acc_reward: 3528.54
timestep: 414000, acc_reward: 3474.39
timestep: 417000, acc_reward: 3434.84
timestep: 420000, acc_reward: 3425.01
timestep: 423000, acc_reward: 3508.80
timestep: 426000, acc_reward: 3469.58
timestep: 429000, acc_reward: 2970.96
timestep: 432000, acc_reward: 3470.52
timestep: 435000, acc_reward: 3450.93
timestep: 438000, acc_reward: 3347.64
timestep: 441000, acc_reward: 3457.22
timestep: 444000, acc_reward: 3487.09
timestep: 447000, acc_reward: 1991.27
timestep: 450000, acc_reward: 3401.70
timestep: 453000, acc_reward: 3167.52
timestep: 456000, acc_reward: 3512.52
timestep: 459000, acc_reward: 184.02
timestep: 462000, acc_reward: 2774.41
timestep: 465000, acc_reward: 3479.00
timestep: 468000, acc_reward: 3370.49
timestep: 471000, acc_reward: 3501.67
timestep: 474000, acc_reward: 3530.46
timestep: 477000, acc_reward: 3184.93
timestep: 480000, acc_reward: 3151.13
timestep: 483000, acc_reward: 3360.17
timestep: 486000, acc_reward: 3320.94
timestep: 489000, acc_reward: 3513.57
timestep: 492000, acc_reward: 3505.06
timestep: 495000, acc_reward: 3492.97
timestep: 498000, acc_reward: 2713.17
timestep: 501000, acc_reward: 2709.28
timestep: 504000, acc_reward: 3477.27
timestep: 507000, acc_reward: 1575.87
timestep: 510000, acc_reward: 3521.36
timestep: 513000, acc_reward: 3444.02
timestep: 516000, acc_reward: 3116.88
timestep: 519000, acc_reward: 573.71
timestep: 522000, acc_reward: 3437.86
timestep: 525000, acc_reward: 3443.76
timestep: 528000, acc_reward: 3525.42
timestep: 531000, acc_reward: 3499.92
timestep: 534000, acc_reward: 3424.42
timestep: 537000, acc_reward: 1058.83
timestep: 540000, acc_reward: 287.78
timestep: 543000, acc_reward: 3533.90
timestep: 546000, acc_reward: 3585.33
timestep: 549000, acc_reward: 3545.10
timestep: 552000, acc_reward: 1833.09
timestep: 555000, acc_reward: 3494.20
timestep: 558000, acc_reward: 3276.16
timestep: 561000, acc_reward: 3563.28
timestep: 564000, acc_reward: 3516.17
timestep: 567000, acc_reward: 3474.97
timestep: 570000, acc_reward: 3572.80
timestep: 573000, acc_reward: 3228.35
timestep: 576000, acc_reward: 3164.40
timestep: 579000, acc_reward: -1.54
timestep: 582000, acc_reward: 5.45
timestep: 585000, acc_reward: 984.66
timestep: 588000, acc_reward: 999.58
timestep: 591000, acc_reward: 1002.87
timestep: 594000, acc_reward: 1002.91
timestep: 597000, acc_reward: 1003.80
timestep: 600000, acc_reward: 3498.18
timestep: 603000, acc_reward: 3476.65
timestep: 606000, acc_reward: 3450.00
timestep: 609000, acc_reward: 3535.87
timestep: 612000, acc_reward: 2100.04
timestep: 615000, acc_reward: 3590.45
timestep: 618000, acc_reward: 3488.60
timestep: 621000, acc_reward: 3496.33
timestep: 624000, acc_reward: 1785.67
timestep: 627000, acc_reward: 3504.13
timestep: 630000, acc_reward: 3457.89
timestep: 633000, acc_reward: 3416.30
timestep: 636000, acc_reward: 3556.07
timestep: 639000, acc_reward: 3552.50
timestep: 642000, acc_reward: 3135.02
timestep: 645000, acc_reward: 3111.60
timestep: 648000, acc_reward: 3589.72
timestep: 651000, acc_reward: 3604.36
timestep: 654000, acc_reward: 3479.00
timestep: 657000, acc_reward: 3717.18
timestep: 660000, acc_reward: 2533.21
timestep: 663000, acc_reward: 2664.09
timestep: 666000, acc_reward: 3528.18
timestep: 669000, acc_reward: 3548.48
timestep: 672000, acc_reward: 3485.20
timestep: 675000, acc_reward: 2735.12
timestep: 678000, acc_reward: 3580.71
timestep: 681000, acc_reward: 3586.42
timestep: 684000, acc_reward: 2424.07
timestep: 687000, acc_reward: 803.60
timestep: 690000, acc_reward: 2728.03
timestep: 693000, acc_reward: 2426.93
timestep: 696000, acc_reward: 2199.47
timestep: 699000, acc_reward: 3197.87
timestep: 702000, acc_reward: 2618.93
timestep: 705000, acc_reward: 1383.75
timestep: 708000, acc_reward: 3413.24
timestep: 711000, acc_reward: 2837.18
timestep: 714000, acc_reward: 3265.64
timestep: 717000, acc_reward: 1971.37
timestep: 720000, acc_reward: 1605.01
timestep: 723000, acc_reward: 1573.92
timestep: 726000, acc_reward: 3464.94
timestep: 729000, acc_reward: 3578.15
timestep: 732000, acc_reward: 3543.40
timestep: 735000, acc_reward: 1614.58
timestep: 738000, acc_reward: 3333.81
timestep: 741000, acc_reward: 3609.61
timestep: 744000, acc_reward: 3566.80
timestep: 747000, acc_reward: 3570.52
timestep: 750000, acc_reward: 3587.87
timestep: 753000, acc_reward: 3608.87
timestep: 756000, acc_reward: 1385.15
timestep: 759000, acc_reward: 2911.74
timestep: 762000, acc_reward: 2462.99
timestep: 765000, acc_reward: 1647.27
timestep: 768000, acc_reward: 2980.87
timestep: 771000, acc_reward: 2661.69
timestep: 774000, acc_reward: 2435.90
timestep: 777000, acc_reward: 3030.39
timestep: 780000, acc_reward: 3448.27
timestep: 783000, acc_reward: 3623.11
timestep: 786000, acc_reward: 3487.22
timestep: 789000, acc_reward: 1601.53
timestep: 792000, acc_reward: 1761.20
timestep: 795000, acc_reward: 3557.80
timestep: 798000, acc_reward: 2622.89
timestep: 801000, acc_reward: 1461.35
timestep: 804000, acc_reward: 2645.40
timestep: 807000, acc_reward: 3523.57
timestep: 810000, acc_reward: 2428.79
timestep: 813000, acc_reward: 3503.64
timestep: 816000, acc_reward: 3625.77
timestep: 819000, acc_reward: 3619.05
timestep: 822000, acc_reward: 3572.18
timestep: 825000, acc_reward: 3544.07
timestep: 828000, acc_reward: 3430.24
timestep: 831000, acc_reward: 3639.17
timestep: 834000, acc_reward: 3417.97
timestep: 837000, acc_reward: 3674.38
timestep: 840000, acc_reward: 992.08
timestep: 843000, acc_reward: 2307.13
timestep: 846000, acc_reward: 3080.38
timestep: 849000, acc_reward: 1955.29
timestep: 852000, acc_reward: 3356.22
timestep: 855000, acc_reward: 1668.35
timestep: 858000, acc_reward: 2118.71
timestep: 861000, acc_reward: 2665.92
timestep: 864000, acc_reward: 3322.14
timestep: 867000, acc_reward: 2148.68
timestep: 870000, acc_reward: 2363.75
timestep: 873000, acc_reward: 2345.41
timestep: 876000, acc_reward: 2528.26
timestep: 879000, acc_reward: 3496.36
timestep: 882000, acc_reward: 3289.56
timestep: 885000, acc_reward: 3603.52
timestep: 888000, acc_reward: 3623.86
timestep: 891000, acc_reward: 3584.18
timestep: 894000, acc_reward: 3435.29
timestep: 897000, acc_reward: 2987.69
timestep: 900000, acc_reward: 3528.43
timestep: 903000, acc_reward: 3175.16
timestep: 906000, acc_reward: 2531.53
timestep: 909000, acc_reward: 3551.36
timestep: 912000, acc_reward: 3472.50
timestep: 915000, acc_reward: 1657.80
timestep: 918000, acc_reward: 1671.41
timestep: 921000, acc_reward: 2712.33
timestep: 924000, acc_reward: 3315.99
timestep: 927000, acc_reward: 3036.61
timestep: 930000, acc_reward: 3326.75
timestep: 933000, acc_reward: 3561.08
timestep: 936000, acc_reward: 2702.96
timestep: 939000, acc_reward: 900.88
timestep: 942000, acc_reward: 3545.88
timestep: 945000, acc_reward: 1884.51
timestep: 948000, acc_reward: 1514.04
timestep: 951000, acc_reward: 3526.40
timestep: 954000, acc_reward: 1767.86
timestep: 957000, acc_reward: 1851.90
timestep: 960000, acc_reward: 3188.60
timestep: 963000, acc_reward: 1771.25
timestep: 966000, acc_reward: 3417.27
timestep: 969000, acc_reward: 2886.46
timestep: 972000, acc_reward: 3531.86
timestep: 975000, acc_reward: 3554.10
timestep: 978000, acc_reward: 3563.22
timestep: 981000, acc_reward: 3445.22
timestep: 984000, acc_reward: 3513.52
timestep: 987000, acc_reward: 3153.30
timestep: 990000, acc_reward: 3249.56
timestep: 993000, acc_reward: 3585.82
timestep: 996000, acc_reward: 3487.61
timestep: 999000, acc_reward: 844.38
timestep: 1002000, acc_reward: 3504.34
timestep: 1005000, acc_reward: 3536.86
timestep: 1008000, acc_reward: 3494.30
timestep: 1011000, acc_reward: 115.24
timestep: 1014000, acc_reward: 3595.65
timestep: 1017000, acc_reward: 3494.87
timestep: 1020000, acc_reward: 3221.27
timestep: 1023000, acc_reward: 1561.00
timestep: 1026000, acc_reward: 3473.38
timestep: 1029000, acc_reward: 2279.77
timestep: 1032000, acc_reward: 3536.93
timestep: 1035000, acc_reward: 1678.54
timestep: 1038000, acc_reward: 3015.87
timestep: 1041000, acc_reward: 2087.17
timestep: 1044000, acc_reward: 3478.33
timestep: 1047000, acc_reward: 2694.92
timestep: 1050000, acc_reward: 2848.38
timestep: 1053000, acc_reward: 3171.32
timestep: 1056000, acc_reward: 3013.34
timestep: 1059000, acc_reward: 3564.21
timestep: 1062000, acc_reward: 3551.07
timestep: 1065000, acc_reward: 3587.22
timestep: 1068000, acc_reward: 3561.66
timestep: 1071000, acc_reward: 3539.96
timestep: 1074000, acc_reward: 1389.76
timestep: 1077000, acc_reward: 3462.96
timestep: 1080000, acc_reward: 3547.35
timestep: 1083000, acc_reward: 3549.67
timestep: 1086000, acc_reward: 3560.44
timestep: 1089000, acc_reward: 3370.78
timestep: 1092000, acc_reward: 1926.74
timestep: 1095000, acc_reward: 3559.60
timestep: 1098000, acc_reward: 3558.38
timestep: 1101000, acc_reward: 3644.15
timestep: 1104000, acc_reward: 3291.48
timestep: 1107000, acc_reward: 3597.94
timestep: 1110000, acc_reward: 3496.05
timestep: 1113000, acc_reward: 3287.63
timestep: 1116000, acc_reward: 1368.88
timestep: 1119000, acc_reward: 2012.00
timestep: 1122000, acc_reward: 2260.56
timestep: 1125000, acc_reward: 2171.23
timestep: 1128000, acc_reward: 3437.83
timestep: 1131000, acc_reward: 1808.82
timestep: 1134000, acc_reward: 3563.09
timestep: 1137000, acc_reward: 3623.18
timestep: 1140000, acc_reward: 3583.96
timestep: 1143000, acc_reward: 3550.26
timestep: 1146000, acc_reward: 2155.19
timestep: 1149000, acc_reward: 2750.78
timestep: 1152000, acc_reward: 3553.23
timestep: 1155000, acc_reward: 3117.27
timestep: 1158000, acc_reward: 1790.38
timestep: 1161000, acc_reward: 1816.32
timestep: 1164000, acc_reward: 3297.06
timestep: 1167000, acc_reward: 2617.64
timestep: 1170000, acc_reward: 2951.11
timestep: 1173000, acc_reward: 3240.08
timestep: 1176000, acc_reward: 1900.95
timestep: 1179000, acc_reward: 1650.97
timestep: 1182000, acc_reward: 2541.65
timestep: 1185000, acc_reward: 805.64
timestep: 1188000, acc_reward: 3237.42
timestep: 1191000, acc_reward: 2971.79
timestep: 1194000, acc_reward: 3075.85
timestep: 1197000, acc_reward: 2296.27
timestep: 1200000, acc_reward: 3358.60
timestep: 1203000, acc_reward: 1916.59
timestep: 1206000, acc_reward: 2071.50
timestep: 1209000, acc_reward: 938.06
timestep: 1212000, acc_reward: 3559.45
timestep: 1215000, acc_reward: 3634.31
timestep: 1218000, acc_reward: 2806.97
timestep: 1221000, acc_reward: 3613.21
timestep: 1224000, acc_reward: 3622.19
timestep: 1227000, acc_reward: 3726.65
timestep: 1230000, acc_reward: 2178.61
timestep: 1233000, acc_reward: 409.57
timestep: 1236000, acc_reward: 3461.92
timestep: 1239000, acc_reward: 3416.74
timestep: 1242000, acc_reward: 3599.61
timestep: 1245000, acc_reward: 2875.23
timestep: 1248000, acc_reward: 3474.11
timestep: 1251000, acc_reward: 827.92
timestep: 1254000, acc_reward: 3503.83
timestep: 1257000, acc_reward: 3602.31
timestep: 1260000, acc_reward: 2057.54
timestep: 1263000, acc_reward: 3446.79
timestep: 1266000, acc_reward: 2369.94
timestep: 1269000, acc_reward: 2362.21
timestep: 1272000, acc_reward: 2678.28
timestep: 1275000, acc_reward: 2222.53
timestep: 1278000, acc_reward: 1988.73
timestep: 1281000, acc_reward: 546.34
timestep: 1284000, acc_reward: 1239.76
timestep: 1287000, acc_reward: 2433.38
timestep: 1290000, acc_reward: 1856.39
timestep: 1293000, acc_reward: 2427.62
timestep: 1296000, acc_reward: 2225.00
timestep: 1299000, acc_reward: 3549.08
timestep: 1302000, acc_reward: 2970.49
timestep: 1305000, acc_reward: 2580.21
timestep: 1308000, acc_reward: 2926.61
timestep: 1311000, acc_reward: 1814.97
timestep: 1314000, acc_reward: 1981.02
timestep: 1317000, acc_reward: 930.97
timestep: 1320000, acc_reward: 2549.38
timestep: 1323000, acc_reward: 1849.92
timestep: 1326000, acc_reward: 2075.78
timestep: 1329000, acc_reward: 2039.48
timestep: 1332000, acc_reward: 2207.99
timestep: 1335000, acc_reward: 1651.86
timestep: 1338000, acc_reward: 1958.99
timestep: 1341000, acc_reward: 2057.78
timestep: 1344000, acc_reward: 2333.51
timestep: 1347000, acc_reward: 3312.81
timestep: 1350000, acc_reward: 1897.03
timestep: 1353000, acc_reward: 2029.67
timestep: 1356000, acc_reward: 1672.89
timestep: 1359000, acc_reward: 1694.26
timestep: 1362000, acc_reward: 2298.98
timestep: 1365000, acc_reward: 1701.92
timestep: 1368000, acc_reward: 1747.88
timestep: 1371000, acc_reward: 3581.62
timestep: 1374000, acc_reward: 3066.09
timestep: 1377000, acc_reward: 3013.40
timestep: 1380000, acc_reward: 901.51
timestep: 1383000, acc_reward: 1722.63
timestep: 1386000, acc_reward: 2528.63
timestep: 1389000, acc_reward: 3408.29
timestep: 1392000, acc_reward: 2253.34
timestep: 1395000, acc_reward: 3117.95
timestep: 1398000, acc_reward: 2139.03
timestep: 1401000, acc_reward: 2650.66
timestep: 1404000, acc_reward: 2553.21
timestep: 1407000, acc_reward: 2920.05
timestep: 1410000, acc_reward: 2791.99
timestep: 1413000, acc_reward: 2232.01
timestep: 1416000, acc_reward: 2422.70
timestep: 1419000, acc_reward: 3552.87
timestep: 1422000, acc_reward: 2008.12
timestep: 1425000, acc_reward: 1614.87
timestep: 1428000, acc_reward: 2092.48
timestep: 1431000, acc_reward: 1571.66
timestep: 1434000, acc_reward: 2188.86
timestep: 1437000, acc_reward: 1713.23
timestep: 1440000, acc_reward: 2835.98
timestep: 1443000, acc_reward: 2900.97
timestep: 1446000, acc_reward: 1347.06
timestep: 1449000, acc_reward: 1728.99
timestep: 1452000, acc_reward: 1660.29
timestep: 1455000, acc_reward: 2186.49
timestep: 1458000, acc_reward: 2341.75
timestep: 1461000, acc_reward: 2336.58
timestep: 1464000, acc_reward: 1664.13
timestep: 1467000, acc_reward: 1735.84
timestep: 1470000, acc_reward: 1797.80
timestep: 1473000, acc_reward: 1293.89
timestep: 1476000, acc_reward: 1406.51
timestep: 1479000, acc_reward: 1669.05
timestep: 1482000, acc_reward: 2381.72
timestep: 1485000, acc_reward: 2039.82
timestep: 1488000, acc_reward: 1415.53
timestep: 1491000, acc_reward: 1588.11
timestep: 1494000, acc_reward: 1378.37
timestep: 1497000, acc_reward: 2674.93
timestep: 1500000, acc_reward: 1348.40
