timestep: 0, critic_loss: 2.003415822982788, actor_loss -0.18270297348499298
timestep: 1000, critic_loss: 0.07566633820533752, actor_loss -3.178358554840088
timestep: 2000, critic_loss: 0.1686995029449463, actor_loss -6.595554351806641
timestep: 3000, critic_loss: 0.6394667625427246, actor_loss -11.704459190368652
timestep: 4000, critic_loss: 0.976110577583313, actor_loss -17.598886489868164
timestep: 5000, critic_loss: 2.545180559158325, actor_loss -25.171958923339844
timestep: 6000, critic_loss: 23.228103637695312, actor_loss -34.015289306640625
timestep: 7000, critic_loss: 9.060060501098633, actor_loss -38.75687026977539
timestep: 8000, critic_loss: 14.238595008850098, actor_loss -44.89763259887695
timestep: 9000, critic_loss: 11.735490798950195, actor_loss -48.296138763427734
timestep: 10000, critic_loss: 13.431575775146484, actor_loss -51.60202407836914
timestep: 11000, critic_loss: 15.415821075439453, actor_loss -50.476295471191406
timestep: 12000, critic_loss: 12.410903930664062, actor_loss -55.958045959472656
timestep: 13000, critic_loss: 19.052379608154297, actor_loss -56.232295989990234
timestep: 14000, critic_loss: 8.630165100097656, actor_loss -58.08766555786133
timestep: 15000, critic_loss: 9.633160591125488, actor_loss -60.11249542236328
timestep: 16000, critic_loss: 17.503662109375, actor_loss -62.00699996948242
timestep: 17000, critic_loss: 21.830848693847656, actor_loss -67.94845581054688
timestep: 18000, critic_loss: 12.164260864257812, actor_loss -69.38813781738281
timestep: 19000, critic_loss: 11.255779266357422, actor_loss -72.48270416259766
timestep: 20000, critic_loss: 23.631933212280273, actor_loss -76.28421020507812
timestep: 21000, critic_loss: 16.02743911743164, actor_loss -79.66065979003906
timestep: 22000, critic_loss: 13.833562850952148, actor_loss -86.60676574707031
timestep: 23000, critic_loss: 16.118824005126953, actor_loss -87.86582946777344
timestep: 24000, critic_loss: 13.042743682861328, actor_loss -91.32920837402344
timestep: 25000, critic_loss: 15.271023750305176, actor_loss -92.96638488769531
timestep: 26000, critic_loss: 14.715877532958984, actor_loss -90.56224060058594
timestep: 27000, critic_loss: 7.891371250152588, actor_loss -92.27531433105469
timestep: 28000, critic_loss: 6.946781158447266, actor_loss -99.31690216064453
timestep: 29000, critic_loss: 29.997785568237305, actor_loss -96.6787338256836
timestep: 30000, critic_loss: 20.357711791992188, actor_loss -101.93142700195312
timestep: 31000, critic_loss: 6.726226329803467, actor_loss -103.20604705810547
timestep: 32000, critic_loss: 7.1038641929626465, actor_loss -101.64696502685547
timestep: 33000, critic_loss: 17.178373336791992, actor_loss -103.3777847290039
timestep: 34000, critic_loss: 11.698898315429688, actor_loss -108.34660339355469
timestep: 35000, critic_loss: 11.424016952514648, actor_loss -105.63959503173828
timestep: 36000, critic_loss: 10.945598602294922, actor_loss -109.42533874511719
timestep: 37000, critic_loss: 53.628509521484375, actor_loss -106.32239532470703
timestep: 38000, critic_loss: 15.897725105285645, actor_loss -110.88679504394531
timestep: 39000, critic_loss: 19.61276626586914, actor_loss -114.01260375976562
timestep: 40000, critic_loss: 10.638998031616211, actor_loss -115.41546630859375
timestep: 41000, critic_loss: 15.278214454650879, actor_loss -113.10752868652344
timestep: 42000, critic_loss: 28.302242279052734, actor_loss -116.3765640258789
timestep: 43000, critic_loss: 8.322202682495117, actor_loss -119.23117065429688
timestep: 44000, critic_loss: 18.280521392822266, actor_loss -118.90310668945312
timestep: 45000, critic_loss: 12.679012298583984, actor_loss -119.97247314453125
timestep: 46000, critic_loss: 15.869401931762695, actor_loss -121.3759765625
timestep: 47000, critic_loss: 15.938274383544922, actor_loss -118.25936889648438
timestep: 48000, critic_loss: 40.82063293457031, actor_loss -121.64665985107422
timestep: 49000, critic_loss: 21.275144577026367, actor_loss -123.32022094726562
timestep: 50000, critic_loss: 13.342987060546875, actor_loss -125.74701690673828
timestep: 51000, critic_loss: 57.31822967529297, actor_loss -123.4183349609375
timestep: 52000, critic_loss: 17.843341827392578, actor_loss -126.26602172851562
timestep: 53000, critic_loss: 14.805477142333984, actor_loss -128.7735595703125
timestep: 54000, critic_loss: 24.427692413330078, actor_loss -129.55227661132812
timestep: 55000, critic_loss: 32.58312225341797, actor_loss -130.75543212890625
timestep: 56000, critic_loss: 30.24500274658203, actor_loss -130.92160034179688
timestep: 57000, critic_loss: 28.856056213378906, actor_loss -132.525146484375
timestep: 58000, critic_loss: 23.958675384521484, actor_loss -135.469970703125
timestep: 59000, critic_loss: 20.07474708557129, actor_loss -135.12411499023438
timestep: 60000, critic_loss: 10.713033676147461, actor_loss -138.4278564453125
timestep: 61000, critic_loss: 8.248321533203125, actor_loss -138.82171630859375
timestep: 62000, critic_loss: 11.472393035888672, actor_loss -137.90975952148438
timestep: 63000, critic_loss: 16.970224380493164, actor_loss -138.28915405273438
timestep: 64000, critic_loss: 7.409832954406738, actor_loss -144.0941162109375
timestep: 65000, critic_loss: 16.780925750732422, actor_loss -135.26329040527344
timestep: 66000, critic_loss: 8.717477798461914, actor_loss -140.4197998046875
timestep: 67000, critic_loss: 8.204898834228516, actor_loss -140.50999450683594
timestep: 68000, critic_loss: 9.214715957641602, actor_loss -141.448974609375
timestep: 69000, critic_loss: 16.148714065551758, actor_loss -139.43844604492188
timestep: 70000, critic_loss: 20.060253143310547, actor_loss -140.81158447265625
timestep: 71000, critic_loss: 11.402664184570312, actor_loss -142.8616180419922
timestep: 72000, critic_loss: 25.799510955810547, actor_loss -143.6356201171875
timestep: 73000, critic_loss: 8.750896453857422, actor_loss -143.57794189453125
timestep: 74000, critic_loss: 20.905887603759766, actor_loss -146.89938354492188
timestep: 75000, critic_loss: 20.109577178955078, actor_loss -145.3314208984375
timestep: 76000, critic_loss: 11.514022827148438, actor_loss -146.06951904296875
timestep: 77000, critic_loss: 21.85584259033203, actor_loss -142.39724731445312
timestep: 78000, critic_loss: 17.90033531188965, actor_loss -148.2342987060547
timestep: 79000, critic_loss: 12.479866027832031, actor_loss -151.25091552734375
timestep: 80000, critic_loss: 12.381189346313477, actor_loss -141.2874298095703
timestep: 81000, critic_loss: 30.975154876708984, actor_loss -148.613525390625
timestep: 82000, critic_loss: 15.4379243850708, actor_loss -149.48971557617188
timestep: 83000, critic_loss: 18.118408203125, actor_loss -152.9375
timestep: 84000, critic_loss: 17.89337730407715, actor_loss -147.6627197265625
timestep: 85000, critic_loss: 10.742721557617188, actor_loss -153.42031860351562
timestep: 86000, critic_loss: 120.919921875, actor_loss -149.89405822753906
timestep: 87000, critic_loss: 41.53675842285156, actor_loss -149.50228881835938
timestep: 88000, critic_loss: 33.039344787597656, actor_loss -151.75901794433594
timestep: 89000, critic_loss: 22.70355987548828, actor_loss -156.8057098388672
timestep: 90000, critic_loss: 10.601018905639648, actor_loss -155.8946075439453
timestep: 91000, critic_loss: 17.725801467895508, actor_loss -156.01925659179688
timestep: 92000, critic_loss: 39.03765869140625, actor_loss -152.74734497070312
timestep: 93000, critic_loss: 9.986495018005371, actor_loss -157.12332153320312
