

 sac2 _ seed: 2 

timestep: 1000, acc_reward: 21.75
timestep: 2000, acc_reward: 16.26
timestep: 3000, acc_reward: 23.49
timestep: 4000, acc_reward: 15.54
timestep: 5000, acc_reward: 16.44
timestep: 6000, acc_reward: 56.38
timestep: 7000, acc_reward: 185.21
timestep: 8000, acc_reward: 182.10
timestep: 9000, acc_reward: 206.39
timestep: 10000, acc_reward: 250.54
timestep: 11000, acc_reward: 283.48
timestep: 12000, acc_reward: 267.72
timestep: 13000, acc_reward: 264.08
timestep: 14000, acc_reward: 148.12
timestep: 15000, acc_reward: 225.73
timestep: 16000, acc_reward: 259.86
timestep: 17000, acc_reward: 301.11
timestep: 18000, acc_reward: 164.32
timestep: 19000, acc_reward: 287.52
timestep: 20000, acc_reward: 292.48
timestep: 21000, acc_reward: 26.42
timestep: 22000, acc_reward: 235.19
timestep: 23000, acc_reward: 256.97
timestep: 24000, acc_reward: 252.70
timestep: 25000, acc_reward: 334.88
timestep: 26000, acc_reward: 334.62
timestep: 27000, acc_reward: 316.59
timestep: 28000, acc_reward: 331.77
timestep: 29000, acc_reward: 330.87
timestep: 30000, acc_reward: 349.64
timestep: 31000, acc_reward: 352.41
timestep: 32000, acc_reward: 310.88
timestep: 33000, acc_reward: 362.62
timestep: 34000, acc_reward: 358.03
timestep: 35000, acc_reward: 313.71
timestep: 36000, acc_reward: 345.56
timestep: 37000, acc_reward: 325.45
timestep: 38000, acc_reward: 337.30
timestep: 39000, acc_reward: 317.99
timestep: 40000, acc_reward: 318.92
timestep: 41000, acc_reward: 335.90
timestep: 42000, acc_reward: 352.51
timestep: 43000, acc_reward: 352.82
timestep: 44000, acc_reward: 67.65
timestep: 45000, acc_reward: 329.48
timestep: 46000, acc_reward: 291.66
timestep: 47000, acc_reward: 311.10
timestep: 48000, acc_reward: 332.95
timestep: 49000, acc_reward: 334.64
timestep: 50000, acc_reward: 342.33
timestep: 51000, acc_reward: 336.79
timestep: 52000, acc_reward: 353.08
timestep: 53000, acc_reward: 328.57
timestep: 54000, acc_reward: 343.26
timestep: 55000, acc_reward: 371.19
timestep: 56000, acc_reward: 346.96
timestep: 57000, acc_reward: 356.08
timestep: 58000, acc_reward: 353.38
timestep: 59000, acc_reward: 355.47
timestep: 60000, acc_reward: 352.99
timestep: 61000, acc_reward: 354.34
timestep: 62000, acc_reward: 363.67
timestep: 63000, acc_reward: 380.19
timestep: 64000, acc_reward: 375.22
timestep: 65000, acc_reward: 377.95
timestep: 66000, acc_reward: 370.33
timestep: 67000, acc_reward: 382.48
timestep: 68000, acc_reward: 405.15
timestep: 69000, acc_reward: 393.86
timestep: 70000, acc_reward: 394.17
timestep: 71000, acc_reward: 409.85
timestep: 72000, acc_reward: 375.48
timestep: 73000, acc_reward: 412.82
timestep: 74000, acc_reward: 407.72
timestep: 75000, acc_reward: 401.68
timestep: 76000, acc_reward: 404.04
timestep: 77000, acc_reward: 410.29
timestep: 78000, acc_reward: 377.36
timestep: 79000, acc_reward: 425.02
timestep: 80000, acc_reward: 404.65
timestep: 81000, acc_reward: 412.58
timestep: 82000, acc_reward: 419.29
timestep: 83000, acc_reward: 411.91
timestep: 84000, acc_reward: 402.01
timestep: 85000, acc_reward: 417.90
timestep: 86000, acc_reward: 411.44
timestep: 87000, acc_reward: 400.54
timestep: 88000, acc_reward: 405.62
timestep: 89000, acc_reward: 418.78
timestep: 90000, acc_reward: 415.72
timestep: 91000, acc_reward: 426.12
timestep: 92000, acc_reward: 398.54
timestep: 93000, acc_reward: 416.39
timestep: 94000, acc_reward: 403.54
timestep: 95000, acc_reward: 404.34
timestep: 96000, acc_reward: 352.39
timestep: 97000, acc_reward: 411.47
timestep: 98000, acc_reward: 414.83
timestep: 99000, acc_reward: 400.25
timestep: 100000, acc_reward: 437.31
timestep: 101000, acc_reward: 418.28
timestep: 102000, acc_reward: 424.85
timestep: 103000, acc_reward: 449.49
timestep: 104000, acc_reward: 422.60
timestep: 105000, acc_reward: 472.43
timestep: 106000, acc_reward: 424.40
timestep: 107000, acc_reward: 465.37
timestep: 108000, acc_reward: 432.72
timestep: 109000, acc_reward: 447.13
timestep: 110000, acc_reward: 471.79
timestep: 111000, acc_reward: 435.55
timestep: 112000, acc_reward: 434.24
